date,day,nominations_close,options,scratchings_close,status,time_slot,track,url
01/01/2018,Monday,29/12/2017 09:00:00 AM,,01/01/2018 08:30:00 AM,Results Finalised,Twilight,Sandown (SAP),https://fasttrack.grv.org.au/Meeting/Details/228691974
01/01/2018,Monday,28/12/2017 10:00:00 AM,,01/01/2018 08:30:00 AM,Results Finalised,Night,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228692050
01/01/2018,Monday,27/12/2017 11:00:00 AM,,31/12/2017 04:00:00 PM,Results Finalised,Day,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228692051
02/01/2018,Tuesday,28/12/2017 12:00:00 PM,,02/01/2018 08:30:00 AM,Results Finalised,Night,Warragul,https://fasttrack.grv.org.au/Meeting/Details/228126063
02/01/2018,Tuesday,28/12/2017 02:00:00 PM,,02/01/2018 08:30:00 AM,Results Finalised,Twilight,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228691975
02/01/2018,Tuesday,28/12/2017 11:00:00 AM,,02/01/2018 08:30:00 AM,Results Finalised,Twilight,Geelong,https://fasttrack.grv.org.au/Meeting/Details/281026934
03/01/2018,Wednesday,29/12/2017 02:00:00 PM,,03/01/2018 08:30:00 AM,Results Finalised,Night,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/228691989
03/01/2018,Wednesday,31/12/2017 09:00:00 AM,,02/01/2018 04:00:00 PM,Results Finalised,Day,Meadows (MEP),https://fasttrack.grv.org.au/Meeting/Details/228691990
03/01/2018,Wednesday,29/12/2017 10:00:00 AM,,03/01/2018 08:30:00 AM,Results Finalised,Twilight,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228692053
03/01/2018,Wednesday,29/12/2017 11:00:00 AM,,03/01/2018 08:30:00 AM,Results Finalised,Night,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228692056
04/01/2018,Thursday,02/01/2018 08:30:00 AM,,04/01/2018 08:30:00 AM,Results Finalised,Twilight,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228691991
04/01/2018,Thursday,02/01/2018 01:00:00 PM,,04/01/2018 08:30:00 AM,Results Finalised,Night,Sandown Park,https://fasttrack.grv.org.au/Meeting/Details/228691992
04/01/2018,Thursday,02/01/2018 10:00:00 AM,,04/01/2018 08:30:00 AM,Results Finalised,Night,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228691993
04/01/2018,Thursday,02/01/2018 08:00:00 AM,,03/01/2018 04:00:00 PM,Results Finalised,Day,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228692070
05/01/2018,Friday,03/01/2018 08:00:00 AM,,05/01/2018 08:30:00 AM,Results Finalised,Night,The Meadows,https://fasttrack.grv.org.au/Meeting/Details/228126064
05/01/2018,Friday,02/01/2018 11:00:00 AM,,05/01/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228691994
05/01/2018,Friday,02/01/2018 02:00:00 PM,,05/01/2018 08:30:00 AM,Results Finalised,Twilight,Geelong,https://fasttrack.grv.org.au/Meeting/Details/228691995
05/01/2018,Friday,02/01/2018 10:00:00 AM,,04/01/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228692052
05/01/2018,Friday,02/01/2018 03:00:00 PM,,05/01/2018 08:30:00 AM,Results Finalised,Night,Warragul,https://fasttrack.grv.org.au/Meeting/Details/228692061
06/01/2018,Saturday,03/01/2018 08:30:00 AM,,06/01/2018 08:30:00 AM,Results Finalised,Night,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228126057
07/01/2018,Sunday,03/01/2018 09:00:00 AM,,06/01/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228691996
07/01/2018,Sunday,03/01/2018 10:00:00 AM,,07/01/2018 08:30:00 AM,Results Finalised,Twilight,Sale,https://fasttrack.grv.org.au/Meeting/Details/228691997
07/01/2018,Sunday,03/01/2018 01:00:00 PM,,06/01/2018 04:00:00 PM,Results Finalised,Day,Sandown (SAP),https://fasttrack.grv.org.au/Meeting/Details/228691998
08/01/2018,Monday,03/01/2018 11:00:00 AM,,07/01/2018 04:00:00 PM,Results Finalised,Day,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228691999
08/01/2018,Monday,04/01/2018 10:00:00 AM,,08/01/2018 08:30:00 AM,Results Finalised,Night,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228692054
08/01/2018,Monday,04/01/2018 09:00:00 AM,,08/01/2018 08:30:00 AM,Results Finalised,Twilight,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/281026935
09/01/2018,Tuesday,04/01/2018 11:00:00 AM,,09/01/2018 08:30:00 AM,Results Finalised,Twilight,Horsham,https://fasttrack.grv.org.au/Meeting/Details/228692000
09/01/2018,Tuesday,04/01/2018 12:00:00 PM,,09/01/2018 08:30:00 AM,Results Finalised,Night,Warragul,https://fasttrack.grv.org.au/Meeting/Details/228692001
09/01/2018,Tuesday,04/01/2018 11:00:00 AM,,09/01/2018 08:30:00 AM,Results Finalised,Twilight,Geelong,https://fasttrack.grv.org.au/Meeting/Details/268927281
10/01/2018,Wednesday,05/01/2018 11:00:00 AM,,10/01/2018 08:30:00 AM,Results Finalised,Night,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228692003
10/01/2018,Wednesday,05/01/2018 11:00:00 AM,,10/01/2018 08:30:00 AM,Results Finalised,Night,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/228692004
10/01/2018,Wednesday,05/01/2018 01:00:00 PM,,09/01/2018 04:00:00 PM,Results Finalised,Day,Meadows (MEP),https://fasttrack.grv.org.au/Meeting/Details/228692005
10/01/2018,Wednesday,05/01/2018 10:00:00 AM,,10/01/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/268927282
11/01/2018,Thursday,08/01/2018 11:00:00 AM,,11/01/2018 08:30:00 AM,Results Finalised,Twilight,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228692006
11/01/2018,Thursday,08/01/2018 09:00:00 AM,,11/01/2018 08:30:00 AM,Results Finalised,Night,Sandown Park,https://fasttrack.grv.org.au/Meeting/Details/228692007
11/01/2018,Thursday,08/01/2018 09:00:00 AM,,11/01/2018 08:30:00 AM,Results Finalised,Night,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228692008
11/01/2018,Thursday,08/01/2018 10:00:00 AM,,10/01/2018 04:00:00 PM,Results Finalised,Day,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228692072
12/01/2018,Friday,08/01/2018 12:00:00 PM,,11/01/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228691986
12/01/2018,Friday,09/01/2018 10:00:00 AM,,12/01/2018 08:30:00 AM,Results Finalised,Night,Geelong,https://fasttrack.grv.org.au/Meeting/Details/228692010
12/01/2018,Friday,09/01/2018 01:30:00 PM,,12/01/2018 08:30:00 AM,Results Finalised,Night,The Meadows,https://fasttrack.grv.org.au/Meeting/Details/232147369
12/01/2018,Friday,09/01/2018 09:00:00 AM,,12/01/2018 08:30:00 AM,Results Finalised,Twilight,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/232147375
13/01/2018,Saturday,09/01/2018 09:00:00 AM,,13/01/2018 08:30:00 AM,Results Finalised,Night,Warragul,https://fasttrack.grv.org.au/Meeting/Details/232147371
13/01/2018,Saturday,09/01/2018 11:00:00 AM,,13/01/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/232147373
14/01/2018,Sunday,10/01/2018 09:00:00 AM,,13/01/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228692012
14/01/2018,Sunday,11/01/2018 08:30:00 AM,,14/01/2018 08:30:00 AM,Results Finalised,Twilight,Sale,https://fasttrack.grv.org.au/Meeting/Details/228692013
14/01/2018,Sunday,10/01/2018 01:00:00 PM,,13/01/2018 04:00:00 PM,Results Finalised,Day,Sandown (SAP),https://fasttrack.grv.org.au/Meeting/Details/228692014
15/01/2018,Monday,10/01/2018 11:00:00 AM,,14/01/2018 04:00:00 PM,Results Finalised,Day,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228692015
15/01/2018,Monday,11/01/2018 10:00:00 AM,,15/01/2018 08:30:00 AM,Results Finalised,Night,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228692016
15/01/2018,Monday,11/01/2018 09:00:00 AM,,15/01/2018 08:30:00 AM,Results Finalised,Twilight,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228692075
16/01/2018,Tuesday,11/01/2018 02:00:00 PM,,16/01/2018 08:30:00 AM,Results Finalised,Twilight,Horsham,https://fasttrack.grv.org.au/Meeting/Details/228692017
16/01/2018,Tuesday,11/01/2018 12:00:00 PM,,16/01/2018 08:30:00 AM,Results Finalised,Night,Warragul,https://fasttrack.grv.org.au/Meeting/Details/228692018
16/01/2018,Tuesday,11/01/2018 11:00:00 AM,,16/01/2018 08:30:00 AM,Results Finalised,Twilight,Geelong,https://fasttrack.grv.org.au/Meeting/Details/281026936
17/01/2018,Wednesday,12/01/2018 11:00:00 AM,,17/01/2018 08:30:00 AM,Results Finalised,Night,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228692020
17/01/2018,Wednesday,12/01/2018 11:00:00 AM,,17/01/2018 08:30:00 AM,Results Finalised,Night,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/228692021
17/01/2018,Wednesday,15/01/2018 08:30:00 AM,,16/01/2018 04:00:00 PM,Results Finalised,Day,Meadows (MEP),https://fasttrack.grv.org.au/Meeting/Details/228692022
17/01/2018,Wednesday,15/01/2018 02:00:00 PM,,17/01/2018 08:30:00 AM,Results Finalised,Twilight,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228692024
17/01/2018,Wednesday,12/01/2018 10:00:00 AM,,17/01/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228692057
18/01/2018,Thursday,15/01/2018 09:00:00 AM,,18/01/2018 08:30:00 AM,Results Finalised,Night,Sandown Park,https://fasttrack.grv.org.au/Meeting/Details/228692025
18/01/2018,Thursday,15/01/2018 09:00:00 AM,,18/01/2018 08:30:00 AM,Results Finalised,Night,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228692026
07/02/2018,Wednesday,02/02/2018 09:00:00 AM,,06/02/2018 04:00:00 PM,Results Finalised,Morning,Meadows (MEP),https://fasttrack.grv.org.au/Meeting/Details/228693988
07/02/2018,Wednesday,05/02/2018 08:30:00 AM,,07/02/2018 08:30:00 AM,Results Finalised,Night,Sale,https://fasttrack.grv.org.au/Meeting/Details/228694044
08/02/2018,Thursday,05/02/2018 10:00:00 AM,,07/02/2018 04:00:00 PM,Results Finalised,Day,Warragul,https://fasttrack.grv.org.au/Meeting/Details/228693989
08/02/2018,Thursday,05/02/2018 09:00:00 AM,,08/02/2018 08:30:00 AM,Results Finalised,Night,Sandown Park,https://fasttrack.grv.org.au/Meeting/Details/228693991
08/02/2018,Thursday,06/02/2018 08:30:00 AM,,08/02/2018 08:30:00 AM,Results Finalised,Night,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228693992
08/02/2018,Thursday,06/02/2018 12:00:00 PM,,08/02/2018 08:30:00 AM,Results Finalised,Twilight,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/294318964
09/02/2018,Friday,06/02/2018 10:00:00 AM,,09/02/2018 08:30:00 AM,Results Finalised,Night,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228693993
09/02/2018,Friday,06/02/2018 09:00:00 AM,,09/02/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228693994
09/02/2018,Friday,06/02/2018 10:00:00 AM,,09/02/2018 08:30:00 AM,Results Finalised,Night,Geelong,https://fasttrack.grv.org.au/Meeting/Details/228693995
09/02/2018,Friday,05/02/2018 12:00:00 PM,,08/02/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228694052
